normal,-1,-1,63,-3,-1,0,1
normal,0,0,62,-3,-1,0,2
normal,-1,-1,61,-3,0,0,3
normal,-1,-1,63,-2,-1,0,4
normal,-1,-1,63,-3,-1,0,5
normal,-1,-1,63,-3,-1,0,6
normal,-1,-1,63,-3,0,0,7
normal,-1,-1,63,-3,-1,0,8
normal,-1,-1,63,-3,-1,0,9
normal,-1,-1,61,-3,0,0,10
normal,-1,-1,61,-3,0,0,11
normal,-1,-1,64,-3,-1,0,12
normal,-1,-1,64,-3,-1,0,13
normal,-1,-1,60,-3,0,0,14
normal,-1,0,64,-2,-1,0,15
normal,-1,-1,63,-2,-1,0,1
normal,-1,-1,63,-3,-1,0,2
normal,-1,-1,61,-3,0,0,3
normal,0,-4,63,1,0,0,4
normal,0,-1,59,-2,0,-1,5
normal,-3,3,57,-8,-3,-1,6
normal,-1,3,70,-10,-2,-1,7
normal,0,-3,61,0,0,0,8
normal,0,-2,53,-1,-2,0,9
normal,0,-3,66,1,4,0,10
normal,-3,3,58,-10,-5,0,11
normal,-1,-1,66,-4,-2,0,12
normal,-1,-2,67,-3,-1,0,13
normal,0,1,66,-6,-3,-1,14
normal,-1,-1,59,-3,-4,0,15
normal,-1,0,57,-5,-3,0,1
normal,0,-3,63,-1,0,0,2
normal,-1,1,51,-4,-1,-1,3
normal,-1,-2,68,-2,-2,0,4
normal,-1,-1,65,-6,1,0,5
normal,0,0,61,-5,-2,0,6
normal,-1,1,61,-6,0,-1,7
normal,0,-3,57,3,-4,0,8
normal,-1,-1,59,-4,-4,0,9
normal,1,-3,65,-1,1,0,10
normal,-1,2,64,-7,-2,0,11
normal,-1,1,66,-7,-3,-1,12
normal,-1,0,61,-5,-5,0,13
normal,-1,0,65,-6,-2,-1,14
normal,-1,0,54,-4,-3,0,15
normal,0,-1,59,-2,-1,-1,1
normal,0,-3,61,-1,2,0,2
normal,-2,1,56,-6,-3,0,3
normal,1,-3,64,-1,4,0,4
normal,-1,1,62,-7,1,-1,5
normal,-1,0,60,-9,-5,-1,6
normal,1,1,56,-5,0,0,7
normal,1,-1,66,-4,2,1,8
normal,-2,5,64,-15,-2,0,9
normal,-1,2,58,-8,-4,0,10
normal,0,1,70,-9,-2,-1,11
normal,-1,1,64,-8,-6,-1,12
normal,0,-1,67,-6,0,-1,13
normal,0,-2,63,-4,0,0,14
normal,-1,1,63,-8,-2,0,15
normal,0,-2,65,-4,-2,0,1
normal,-1,-2,56,-5,-3,0,2
normal,0,0,58,-9,-1,0,3
normal,-1,-1,56,-5,-3,0,4
normal,-2,3,57,-12,-4,-1,5
normal,-1,-2,65,-5,-2,0,6
normal,-1,2,56,-9,-5,0,7
normal,2,-2,60,-2,3,1,8
normal,0,1,67,-9,-2,1,9
normal,-1,2,60,-10,-5,0,10
normal,0,-3,63,-3,-1,0,11
normal,-1,-1,73,-8,-5,0,12
normal,-1,0,57,-7,-4,-1,13
normal,-1,0,59,-8,-4,-1,14
normal,-1,1,57,-9,-4,-1,15
normal,-1,2,57,-10,-3,0,1
normal,-2,3,60,-12,-4,-1,2
normal,-1,2,63,-12,-6,1,3
normal,1,3,62,-11,0,0,4
normal,-3,2,56,-9,-4,0,5
normal,0,1,58,-8,-1,-1,6
normal,-1,3,57,-11,-4,0,7
normal,-2,3,61,-10,-5,0,8
